var,varname,plotname,varsection_orig,Variable_Group,codebook_page,final classification,labels,include as predictor,include as ID,date_merge,aggregate,reverse,reverse_scale_min,reverse_scale_max,pick_one,picked,recode_does_not_apply,recode_as_1,remove_after_manual_inspection,notes
e537124,Activity before teaching degree course - vocational training started,,pEducator,pCourseClass,750.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e537126,Activity before teaching degree course - another training program started,,pEducator,pCourseClass,752.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e537130,Admission restriction,,pEducator,pCourseClass,754.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e537161_g1,Subject combination (1st subject; study area),,pEducator,pCourseClass,755.0,categorical,"Linguistic and cultural studies in; Protestant theology/religious education; Catholic theology/religious education; Philosophy; History; Library science, documentation; General and comparative literature and; Classical philology, Modern Greek; German Studies (German, Germanic Languages; English and American studies; Romance studies; Slavic, Baltic, Finno-Ugrian studies; Civil engineering; Surveying; Industrial engineering and management with; Arts, art science in general; Fine arts; Design",1.0,0.0,,,,,,,,,,,
e537162_g1,Subject combination (2nd subject; study area),,pEducator,pCourseClass,757.0,categorical,"Linguistic and cultural studies in; Protestant theology/religious education; Catholic theology/religious education; Philosophy; History; Library science, documentation; General and comparative literature and; Classical philology, Modern Greek; German Studies (German, Germanic Languages; English and American studies; Romance studies; Slavic, Baltic, Finno-Ugrian studies; Surveying; Industrial engineering and management with; Arts, art science in general; Fine arts; Design; Performing arts, motion pictures and",1.0,0.0,,,,,,,,,,,
e41100a_g1,Mother tongue (number references),,pEducator,pCourseClass,766.0,continuous,,1.0,0.0,,,,,,,,,,,
e537180,Grade First state examination,,pEducator,pCourseClass,787.0,continuous,,1.0,0.0,,,,,,,,,,,
e537190,Second state examination,,pEducator,pCourseClass,789.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e400000,Migrant background teacher,,pEducator,pCourseClass,795.0,categorical,"yes, I was born abroad; yes, I was born in; No.",1.0,0.0,,,,,,,,,,,
e76212y_D,Year of birth (categorized),,pEducator,pCourseClass,810.0,continuous,before 1950; 1950-1959; 1960-1969; 1970-1979; after 1979,1.0,0.0,,,,,,,,,,,
e762110,Gender,,pEducator,pCourseClass,811.0,effect code,[m] male; [w] female,1.0,0.0,,,,,,,,,,,
e22280a,Teacher: further education: own needs: educational standards,,pEducator,pCourseClass,865.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280b,Teacher: further education: own needs: assessment methods,,pEducator,pCourseClass,866.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280c,Teacher: further education: own needs: conducting classes,,pEducator,pCourseClass,867.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280d,Teacher: further education: own needs: expert knowledge,,pEducator,pCourseClass,868.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280e,Teacher: further education: own needs: computer and internet abilities teaching,,pEducator,pCourseClass,869.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280f,Teacher: further education: own needs: learning needs students,,pEducator,pCourseClass,870.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280g,Teacher: further education: own needs: handling disciplinary behavioral problems,,pEducator,pCourseClass,871.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280h,Teacher: further education: own needs: school board and administration,,pEducator,pCourseClass,872.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280i,Teacher: further education: own needs: teaching in a multicultural environment,,pEducator,pCourseClass,873.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280j,Teacher: further education: own needs: counseling for students,,pEducator,pCourseClass,874.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22280k,Teacher: further education: own needs: integrative teaching,,pEducator,pCourseClass,875.0,continuous,no need at all; minor need; average need; high need,1.0,0.0,,,,,,,,,,,
e22281a,Teacher: further education: courses/workshop,,pEducator,pCourseClass,876.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22281b,Teacher: further education: educational conferences or seminars,,pEducator,pCourseClass,877.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22281c,Teacher: further education: qualification programs,,pEducator,pCourseClass,878.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22281d,Teacher: further education: sitting in on classes at other schools,,pEducator,pCourseClass,879.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22281e,Teacher: further education: participation in working group for prof. development,,pEducator,pCourseClass,880.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22281f,Teacher: further education: research work,,pEducator,pCourseClass,881.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22281g,Teacher: further education: mentor programs and/or training programs,,pEducator,pCourseClass,882.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22282a,Teacher: further education: days of participation,,pEducator,pCourseClass,883.0,continuous,,1.0,0.0,,,,,,,,,,,
e22282b,Teacher: further education: no participation,,pEducator,pCourseClass,885.0,effect code,not specified; specified,1.0,0.0,,,,,,,,,,,
e222821,Teacher: further education: costs,,pEducator,pCourseClass,886.0,categorical,The further education costs were; I paid a portion of; I paid the entire amount,1.0,0.0,,,,,,,,,,,
e222822,Teacher: further education: release from teaching,,pEducator,pCourseClass,887.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e222823,Teacher: further education: prefer more further education programs,,pEducator,pCourseClass,888.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p731118,Start living together with partner - estimation,,pParent,pParent,1951.0,effect code,Estimated; not estimated,1.0,0.0,,,,,,,,,,,
p510001,"monthly household income, open",,pParent,pParent,1952.0,continuous,,1.0,0.0,,,,,,,,,,,
p30300a,Assessment economic household situation,,pParent,pParent,1957.0,continuous,very bad; rather bad; partly good; rather good; very good,1.0,0.0,,,,,,,,,,,
p728000,Determination of special educational needs,,pParent,pParent,1993.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p524100,Hay fever,,pParent,pParent,2047.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p524101,Neurodermatitis,,pParent,pParent,2048.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p529000,Weight at birth,,pParent,pParent,2049.0,continuous,,1.0,0.0,,,,,,,,,,,
p529001,Size at birth,,pParent,pParent,2051.0,continuous,,1.0,0.0,,,,,,,,,,,
p731702,Gender Respondent,,pParent,pParent,2155.0,effect code,[m] male; [w] female,1.0,0.0,,,,,,,,,,,
p406000_g1,Country of birth of target child (Germany/abroad; edited),,pParent,pParent,2162.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p407050_g1D,Citizenship Target child (German/not German),,pParent,pParent,1916.0,effect code,German; not German,1.0,0.0,,,,,,,,,,,
p407055,Second citizenship Target child (yes/no),,pParent,pParent,2165.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p400500_g1v1,Generation status,,pParent,pParent,1911.0,continuous,no migrant background; 1st generation; 1.5th generation; 2nd generation; 2.25th generation; 2.5th generation; 2.75th generation; 3rd generation; 3.25th generation; 3.5th generation,1.0,0.0,,,,,,,,,,,
p400500_g1,Generation status,,pParent,pParent,1905.0,continuous,no migrant background; 1st generation; 1.5th generation; 2nd generation; 2.25th generation; 2.5th generation; 2.75th generation; 3rd generation; 3.25th generation; 3.5th generation; 3.75th generation,1.0,0.0,,,,,,,,,,,
p400500_g2v1,Missing/contradicting imformation about country of birth for generation status,,pParent,pParent,1907.0,categorical,Unique assignment possible; Information for target person unknown; Information for one parent unknown; Information for both parents unknown; Information for one grandparent unknown; Information for two grandparents unknown; Information for three grandparents unknown; Information for four grandparents unknown; no assignment to a generation,1.0,0.0,,,,,,,,,,,
p712030,"Premature enrollment, regular enrollment, or held back",,pParent,pParent,2170.0,categorical,early; regular; Deferral,1.0,0.0,,,,,,,,,,,
p725000,Held back/repeated grade,,pParent,pParent,2176.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p727000,Recommendation secondary school or course of education,,pParent,pParent,2202.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p727001_D,"Recommendation secondary school or course of education, which ones? (simplified)",,pParent,pParent,1904.0,categorical,"Hauptschule; Realschule; Gymnasium; Integrated comprehensive school; combined Hauptschule and Realschule; tended Realschule, Realschule plus,; Mittelschule/regular school/secondary school/Regionale Schule; Special needs school; Orientation stage/remedial stage; School for highly gifted",1.0,0.0,,,,,,,,,,,
p728050,Diagnosis of dyslexia,,pParent,pParent,2231.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
pd0300g,German lessons: important to write error-free,,pParent,pParent,2242.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,
pd0400g,"German: spelling skills no longer so important, because of writing aids on PC",,pParent,pParent,2243.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,
pd0500g,German lessons: TC can only learn a lot if he/she likes to read,,pParent,pParent,2244.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,
pd0600g,German lessons: good career prospects if TC reads a lot,,pParent,pParent,2245.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,
pd0100g,German lessons: TC shall work hard in German class,,pParent,pParent,2246.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,
pd0200g,German lessons: TC should learn to search information on the internet in class,,pParent,pParent,2247.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,
p261100,Private tutoring - panel questions - occurrence,,pParent,pParent,2248.0,effect code,yes; no; child receives tutoring irregularly,1.0,0.0,,,,,,,,,,,
pd0200u,Support - Frequency: purchasing additional study materials for TC,,pParent,pParent,2265.0,continuous,never; rarely; sometimes; often,1.0,0.0,,,,,,,,,,,
pd0300u,Support - Frequency: look together with TC for information on the internet,,pParent,pParent,2266.0,continuous,never; rarely; sometimes; often; no internet available,1.0,0.0,,,,,,,,,,,
pd0400u,Support - Frequency: support with speeches or presentations,,pParent,pParent,2267.0,continuous,never; rarely; sometimes; often; TC does not count lectures,1.0,0.0,,,,,,,,,,,
pd0100u,Support - Frequency: talk with TC about books we have read together,,pParent,pParent,2268.0,continuous,never; rarely; sometimes; often; do not read together,1.0,0.0,,,,,,,,,,,
p73170y,Date of birth respondent: year,,pParent,pParent,2352.0,date_year,,1.0,0.0,,,,,,,,,,,
p400070_g1D,Country of birth Mother Respondent (Germany/abroad; edited),,pParent,pParent,1867.0,categorical,Germany; not Germany; Elternteil nicht vorhanden/unbekannt,1.0,0.0,,,,,,,,,,,
p400090_g1D,Country of birth Father Respondent (Germany/abroad; edited),,pParent,pParent,1860.0,categorical,Germany; not Germany; Elternteil nicht vorhanden/unbekannt,1.0,0.0,,,,,,,,,,,
